company,cc,market_cap_usd,revenue_usd,employees,ticker
Maghreb Oxygène,MA,29000000,,,
Maghrebail,MA,124000000,,,
Managem,MA,15068000000,,,MNG
Maroc Leasing,MA,101000000,,,
Med Paper,MA,12000000,,,
Microdata,MA,121000000,,,
Minière Touissit (CMT),MA,731000000,,,CMT
Oulmès (Eaux Minérales d'Oulmès),MA,228000000,,,OUL
Promopharm S.A.,MA,134000000,,,
Réalisations Mécaniques (SRM),MA,14000000,,,
Rebab Company,MA,1000000,,,
Résidences Dar Saada,MA,441000000,,,RDS
Risma,MA,442000000,,,RIS
S.M Monétique,MA,37000000,,,
Sanlam Maroc,MA,1192000000,,,SAH
Salafin,MA,134000000,,,SLF
Samir,MA,152000000,,,SAM
SMI (Société Métallurgique d'Imiter),MA,1036000000,,,SMI
SNEP,MA,72000000,,,SNP
Sonasid,MA,760000000,,,SID
Sothema,MA,255000000,,,SOT
Stokvis Nord Afrique,MA,122000000,,,
Stroc Industrie,MA,22000000,,,
TAQA Morocco,MA,4170000000,,,TQM
TotalEnergies Marketing Maroc,MA,1317000000,,,TMA
Unimer,MA,202000000,,,
Wafa Assurance,MA,1802000000,,,WAA
Zellidja S.A,MA,10000000,,,
SODEP - Marsa Maroc,MA,6385000000,,,MSA
Immorente Invest,MA,81000000,,,
Mutandis SCA,MA,212000000,,,MUT
Aradei Capital,MA,537000000,,,ARD
TGCC S.A.,MA,2565000000,,,TGC
Disty Technologies,MA,33000000,,,
Akdital,MA,1608000000,,,AKT
CFG Bank,MA,665000000,,,CFG
CMGP Group,MA,528000000,,,CMGP
Vicenne,MA,350000000,,,VCN
Cash Plus,MA,614000000,,,CSHP
Saudi National Bank,SA,63149333333,10520000000,15338,1180.SR
Ma'aden,SA,60608000000,10360000000,6978,1211.SR
Saudi Telecom Company,SA,57776000000,20946666667,,7010.SR
SABIC,SA,42320000000,30242666667,35000,2010.SR
ACWA Power,SA,38514666667,1992000000,3538,2082.SR
Riyad Bank,SA,22477333333,4621333333,5583,1010.SR
Dr. Sulaiman Al Habib Medical Services,SA,20133333333,3728000000,10475,4013.SR
Saudi Electricity,SA,19789333333,27746666667,33957,5110.SR
Alinma Bank,SA,18976000000,2962666667,4216,1150.SR
Saudi British Bank,SA,18104000000,3720000000,4473,1060.SR
Saudi Arabian Fertilizer Company,SA,15893333333,3434666667,969,2020.SR
Elm Company,SA,14296000000,2682666667,1498,7203.SR
Banque Saudi Fransi,SA,13442666667,2573333333,3146,1050.SR
Etihad Etisalat (Mobily),SA,13058666667,5376000000,3000,7020.SR
Almarai,SA,12288000000,6144000000,46997,2280.SR
Kingdom Holding,SA,11938666667,672000000,,4280.SR
Arab National Bank,SA,11653333333,2490666667,4404,1080.SR
Bank Albilad,SA,9909333333,1616000000,3665,1140.SR
Petro Rabigh,SA,8800000000,10304000000,2944,2380.SR
Arabian Internet and Communications Services,SA,6480000000,3442666667,1494,7202.SR
Dar Al Arkan Real Estate Development,SA,5717333333,1101333333,391,4300.SR
Bupa Arabia,SA,6488000000,5592000000,52000,8210.SR
Luberef,SA,6002666667,2168000000,588,2223.SR
The Company for Cooperative Insurance (Tawuniya),SA,5538666667,5349333333,253,8010.SR
Jarir Marketing,SA,5370666667,3133333333,,4190.SR
Jabal Omar Development,SA,4986666667,562666667,,4250.SR
Yanbu National Petrochemical (Yansab),SA,4885333333,1442666667,,2290.SR
Saudi Investment Bank,SA,4610666667,1242666667,1490,1030.SR
Makkah Construction & Development,SA,4536000000,290666667,,4100.SR
National Shipping Company (Bahri),SA,8018666667,3504000000,583,4030.SR
Bank AlJazira,SA,4157333333,1122666667,2770,1020.SR
Electrical Industries Company,SA,4400000000,653333333,1529,1303.SR
Saudi Tadawul Group Holding,SA,3973333333,328000000,,1111.SR
Mouwasat Medical Services,SA,3200000000,877333333,2389,4002.SR
ADES Holding,SA,5261333333,2029333333,5000,2382.SR
SAL Saudi Logistics Services,SA,3512000000,472000000,933,4263.SR
Umm Al Qura for Development and Construction,SA,6733333333,661333333,146,4325.SR
Riyadh Cables Group,SA,4392000000,2920000000,449,4142.SR
Absa Group,ZA,9823783784,5524324324,37033,ABG.JO
AngloGold Ashanti,ZA,36398918919,10301081081,38000,ANG.JO
Aspen Pharmacare,ZA,3590810811,2302162162,9557,APN.JO
Bid Corporation,ZA,7987027027,13185405405,30387,BID.JO
Bidvest Group,ZA,4275675676,6970810811,134083,BVT.JO
Capitec Bank,ZA,29241621622,2292972973,17672,CPI.JO
Clicks Group,ZA,2774594595,2677837838,20682,CLS.JO
Discovery,ZA,9223243243,4922702703,8450,DSY.JO
Exxaro Resources,ZA,2543243243,2257837838,6812,EXX.JO
FirstRand,ZA,28949729730,7529729730,51244,FSR.JO
Gold Fields,ZA,26272972973,7832432432,6560,GFI.JO
Growthpoint Properties,ZA,3135135135,725405405,598,GRT.JO
Impala Platinum,ZA,9010270270,5618918919,63787,IMP.JO
Investec Ltd,ZA,6263783784,2590810811,8000,INL.JO
Mr Price Group,ZA,2241081081,2291891892,20443,MRP.JO
MTN Group,ZA,22657297297,12257297297,21975,MTN.JO
MultiChoice Group,ZA,2869729730,2743783784,8000,MCG.JO
Nedbank Group,ZA,6642162162,3240000000,25700,NED.JO
NEPI Rockcastle,ZA,5716216216,977837838,687,NRP.JO
Northam Platinum,ZA,4993513514,2249729730,14172,NPH.JO
Old Mutual,ZA,2916756757,6376756757,29861,OMU.JO
Prosus,ZA,79459459459,8953513514,41998,PRX.JO
Remgro,ZA,5669729730,2824324324,27298,REM.JO
RMB Holdings,ZA,32016757,4864865,,RMH.JO
Sanlam,ZA,9759459459,13232432432,23363,SLM.JO
Sasol,ZA,6465945946,13480000000,27107,SOL.JO
Shoprite Holdings,ZA,8131891892,14158378378,147268,SHP.JO
Standard Bank Group,ZA,27940000000,9752972973,50451,SBK.JO
Vodacom Group,ZA,16305945946,9062162162,7641,VOD.JO
Woolworths Holdings,ZA,2280540541,4411351351,37714,WHL.JO
Valterra Platinum,ZA,15715135135,6288108108,19579,VAL.JO
Investec PLC,ZA,6263783784,2590810811,8000,INP.JO
Anglo American,ZA,48396800000,13780000000,26400,AAL.L
BHP Group,ZA,203251200000,40110000000,40009,BHP.L
British American Tobacco,ZA,127449600000,32780800000,47797,BATS.L
Glencore,ZA,80704000000,235417600000,80423,GLEN.L
Mondi,ZA,4160000000,8550400000,24040,MNDI.L
Anheuser-Busch InBev,ZA,161460000000,60960000000,136805,ANH.JO
Emirates NBD,AE,50427792916,13760217984,35000,EMIRATESNBD.DU
Reinet Investments,ZA,4342702703,,,RNI.JO
Navitas Petroleum,IL,4210810811,500000000,59,NVPT
