company,cc,market_cap_usd,revenue_usd,employees,ticker
Kinross Gold,CA,29985294118,8169117647,8456,K
Loblaw Companies,CA,54882352941,47411764706,220000,L
Magna International,CA,19036764706,43441176471,156000,MG
Manulife Financial,CA,74448529412,23551470588,37000,MFC
Metro,CA,14227941176,16308823529,99000,MRU
National Bank of Canada,CA,64463235294,10308823529,33767,NA
Nutrien,CA,33985294118,27588235294,25500,NTR
Open Text,CA,5580882353,5345588235,20500,OTEX
Pembina Pipeline,CA,30625000000,5588235294,2974,PPL
Power Corporation of Canada,CA,42485294118,29014705882,30000,POW
Restaurant Brands International,CA,26301470588,9838235294,53500,QSR
Rogers Communications,CA,18551470588,16632352941,25000,RCI.B
Royal Bank of Canada,CA,304463235294,48323529412,97795,RY
Saputo,CA,12080882353,12904411765,19200,SAP
Shopify,CA,159551470588,12691176471,7600,SHOP
Sun Life Financial,CA,47007352941,25661764706,32151,SLF
Suncor Energy,CA,79198529412,37551470588,15424,SU
TC Energy,CA,75338235294,11382352941,6574,TRP
Teck Resources,CA,29044117647,10286764706,7429,TECK.B
Telus,CA,16639705882,14941176471,111500,T
Thomson Reuters,CA,39448529412,7867647059,27100,TRI
Toronto-Dominion Bank,CA,207382352941,43514705882,104843,TD
Tourmaline Oil,CA,18492647059,3411764706,544,TOU
Waste Connections,CA,43845588235,10198529412,24214,WCN
Wheaton Precious Metals,CA,52360294118,2816176471,44,WPM
WSP Global,CA,17360294118,13566176471,82500,WSP
Arca Continental,MX,19348888889,13908333333,70837,AC
Alsea,MX,1781666667,4724444444,73875,ALSEA
América Móvil,MX,78290000000,54700000000,177711,AMX
Grupo Aeroportuario del Sureste,MX,8170000000,2070000000,2023,ASR
Cemex,MX,18450000000,17040000000,39886,CX
Becle,MX,2881111111,2270000000,7790,CUERVO
Grupo Elektra,MX,5090555556,6428888889,62298,ELEKTRA
FEMSA,MX,40200000000,47310000000,368776,FMX
Grupo Aeroportuario del Pacífico,MX,12880000000,1900000000,3637,PAC
Banorte,MX,29558333333,7838888889,35176,GFNORTEO
El Puerto de Liverpool,MX,7457777778,12720555556,81723,LIVEPOLC1
Orbia,MX,2584444444,7917222222,22683,ORBIA
Pinfra,MX,6512222222,1160555556,2824,PINFRA
Quálitas,MX,3463888889,4246666667,5646,Q
Grupo Bimbo,MX,14880000000,23510000000,152780,GRBMF
Coca-Cola FEMSA,MX,21670000000,16230000000,108378,KOF
Grupo México,MX,96170000000,21030000000,31757,GMBXF
Kimberly-Clark de México,MX,6650000000,3220000000,9556,KCDMY
Grupo Aeroportuario Centro Norte,MX,5070000000,899290000,1190,OMAB
Peñoles,MX,18670000000,10290000000,15611,IPOAF
Televisa,MX,1490000000,3240000000,25531,TV
Corporación Inmobiliaria Vesta,MX,3170000000,304100000,94,VTMX
Volaris,MX,894880000,3300000000,7208,VLRS
Walmart de México y Centroamérica,MX,46475000000,56666666667,235931,WALMEX
Grupo Cementos de Chihuahua,MX,3763888889,1460000000,3172,GCC
Gruma,MX,,3800000000,17845,GRUMAB
Grupo Carso,MX,,5368888889,72944,GCARSOA1
Inbursa,MX,,1300000000,,GFINBURO
Megacable,MX,,,,MEGACPO
Bolsa Mexicana de Valores,MX,,,,BOLSAA
Banco del Bajío,MX,,,4000,BBAJIOO
Regional,MX,,563000000,3000,RA
