CBRE Group	US	S&P500	Real Estate	Real Estate Services
CDW Corporation	US	S&P500	Information Technology	Technology Distributors
Cencora	US	S&P500	Health Care	Health Care Distributors
Centene Corporation	US	S&P500	Health Care	Managed Health Care
CenterPoint Energy	US	S&P500	Utilities	Multi-Utilities
CF Industries	US	S&P500	Materials	Fertilizers & Agricultural Chemicals
Charles River Laboratories	US	S&P500	Health Care	Life Sciences Tools & Services
Charles Schwab Corporation	US	S&P500	Financials	Investment Banking & Brokerage
Charter Communications	US	S&P500	Communication Services	Cable & Satellite
Chevron Corporation	US	S&P500	Energy	Integrated Oil & Gas
Chipotle Mexican Grill	US	S&P500	Consumer Discretionary	Restaurants
Chubb Limited	US	S&P500	Financials	Property & Casualty Insurance
Church & Dwight	US	S&P500	Consumer Staples	Household Products
Ciena	US	S&P500	Information Technology	Communications Equipment
Cigna	US	S&P500	Health Care	Health Care Services
Cincinnati Financial	US	S&P500	Financials	Property & Casualty Insurance
Cintas	US	S&P500	Industrials	Diversified Support Services
Cisco	US	S&P500	Information Technology	Communications Equipment
Citigroup	US	S&P500	Financials	Diversified Banks
Citizens Financial Group	US	S&P500	Financials	Regional Banks
Clorox	US	S&P500	Consumer Staples	Household Products
CME Group	US	S&P500	Financials	Financial Exchanges & Data
CMS Energy	US	S&P500	Utilities	Multi-Utilities
Coca-Cola Company (The)	US	S&P500	Consumer Staples	Soft Drinks & Non-alcoholic Beverages
Cognizant	US	S&P500	Information Technology	IT Consulting & Other Services
Coherent Corp.	US	S&P500	Information Technology	Electronic Components
Coinbase	US	S&P500	Financials	Financial Exchanges & Data
Colgate-Palmolive	US	S&P500	Consumer Staples	Household Products
Comcast	US	S&P500	Communication Services	Cable & Satellite
Comfort Systems USA	US	S&P500	Industrials	Construction & Engineering
ConocoPhillips	US	S&P500	Energy	Oil & Gas Exploration & Production
Consolidated Edison	US	S&P500	Utilities	Multi-Utilities
Constellation Brands	US	S&P500	Consumer Staples	Distillers & Vintners
Constellation Energy	US	S&P500	Utilities	Electric Utilities
Cooper Companies (The)	US	S&P500	Health Care	Health Care Supplies
Copart	US	S&P500	Industrials	Diversified Support Services
Corning Inc.	US	S&P500	Information Technology	Electronic Components
Corpay	US	S&P500	Financials	Transaction & Payment Processing Services
Corteva	US	S&P500	Materials	Fertilizers & Agricultural Chemicals
CoStar Group	US	S&P500	Real Estate	Real Estate Services
Costco	US	S&P500	Consumer Staples	Consumer Staples Merchandise Retail
CRH plc	US	S&P500	Materials	Construction Materials
CrowdStrike	US	S&P500	Information Technology	Systems Software
Crown Castle	US	S&P500	Real Estate	Telecom Tower REITs
CSX Corporation	US	S&P500	Industrials	Rail Transportation
Cummins	US	S&P500	Industrials	Construction Machinery & Heavy Transportation Equipment
CVS Health	US	S&P500	Health Care	Health Care Services
Danaher Corporation	US	S&P500	Health Care	Life Sciences Tools & Services
Darden Restaurants	US	S&P500	Consumer Discretionary	Restaurants
Datadog	US	S&P500	Information Technology	Application Software
DaVita	US	S&P500	Health Care	Health Care Services
Deckers Brands	US	S&P500	Consumer Discretionary	Footwear
Deere & Company	US	S&P500	Industrials	Agricultural & Farm Machinery
Dell Technologies	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Delta Air Lines	US	S&P500	Industrials	Passenger Airlines
Devon Energy	US	S&P500	Energy	Oil & Gas Exploration & Production
Dexcom	US	S&P500	Health Care	Health Care Equipment
Diamondback Energy	US	S&P500	Energy	Oil & Gas Exploration & Production
Digital Realty	US	S&P500	Real Estate	Data Center REITs
Dollar General	US	S&P500	Consumer Staples	Consumer Staples Merchandise Retail
Dollar Tree	US	S&P500	Consumer Staples	Consumer Staples Merchandise Retail
Dominion Energy	US	S&P500	Utilities	Multi-Utilities
Domino's	US	S&P500	Consumer Discretionary	Restaurants
DoorDash	US	S&P500	Consumer Discretionary	Specialized Consumer Services
Dover Corporation	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Dow Inc.	US	S&P500	Materials	Commodity Chemicals
D. R. Horton	US	S&P500	Consumer Discretionary	Homebuilding
DTE Energy	US	S&P500	Utilities	Multi-Utilities
Duke Energy	US	S&P500	Utilities	Electric Utilities
DuPont	US	S&P500	Materials	Specialty Chemicals
Eaton Corporation	US	S&P500	Industrials	Electrical Components & Equipment
eBay Inc.	US	S&P500	Consumer Discretionary	Broadline Retail
EchoStar	US	S&P500	Communication Services	Wireless Telecommunication Services
Ecolab	US	S&P500	Materials	Specialty Chemicals
Edison International	US	S&P500	Utilities	Electric Utilities
Edwards Lifesciences	US	S&P500	Health Care	Health Care Equipment
Electronic Arts	US	S&P500	Communication Services	Interactive Home Entertainment
Elevance Health	US	S&P500	Health Care	Managed Health Care
Emcor	US	S&P500	Industrials	Construction & Engineering
Emerson Electric	US	S&P500	Industrials	Electrical Components & Equipment
Entergy	US	S&P500	Utilities	Electric Utilities
EOG Resources	US	S&P500	Energy	Oil & Gas Exploration & Production
EQT Corporation	US	S&P500	Energy	Oil & Gas Exploration & Production
Equifax	US	S&P500	Industrials	Research & Consulting Services
Equinix	US	S&P500	Real Estate	Data Center REITs
